"ave-p-inlet-rfile"
"Iteration" "ave-p-inlet"
("Iteration" "ave-p-inlet")
1 19.33466460190832
2 28.912772294586
3 32.99901490036162
4 32.22013773306696
5 29.53168758276221
6 24.8132690183936
7 20.67190254027312
8 16.55130085265946
9 12.6986211034002
10 10.44078285969703
11 8.760247912568667
12 7.666279958187503
13 7.280333338112988
14 7.857946590151866
15 8.684842051261183
16 10.02706472763519
17 11.47813682162015
18 13.11372674499031
19 14.71484181244802
20 16.1129777918138
21 17.4143553692687
22 18.54882006882567
23 19.41983515968377
24 20.12837309107996
25 20.58226325369409
26 20.91991502685262
27 21.30541998273865
28 21.66085936884285
29 21.91728961244823
30 22.16636877300841
31 22.35300172083678
32 22.63501371082067
33 22.86668366243807
34 23.0940337133685
35 23.29349526744602
36 23.50683876211889
37 23.68883848854329
38 23.88235167009262
39 24.0543502947714
40 24.21440611013066
41 24.36485568753583
42 24.48814515441093
43 24.61114001278235
44 24.72739840290475
45 24.83105136258033
46 24.91794700785286
47 24.99488876843794
48 25.05035115898231
49 25.10943887190062
50 25.15336087289229
