"avg-outlet-temp-rfile"
"Iteration" "avg-outlet-temp"
("Iteration" "avg-outlet-temp")
1 294.2940390563693
2 294.2942926701737
3 294.2968103166897
4 294.3038768588041
5 294.3206769297057
6 294.3564468782179
7 294.4259962652439
8 294.5495976564934
9 294.7478361562692
10 295.033606673105
11 295.4034573424069
12 295.8314147331175
13 296.2735792302437
14 296.6772703656446
15 296.9975041962823
16 297.2093878246725
17 297.3114406366863
18 297.3199429431863
19 297.2628172590823
20 297.1676123592742
21 297.0572866256433
22 296.9481078119904
23 296.8480171243444
24 296.7608730099973
25 296.6868125614978
26 296.6239763502694
27 296.5704791029019
28 296.5244965860358
29 296.4845423968965
30 296.4494729513012
31 296.4186787382623
32 296.3914944244227
33 296.367599530036
34 296.3466455779881
35 296.3284691178685
36 296.3127667826765
37 296.2993771366253
38 296.2880204566802
39 296.2784353959623
40 296.2703247755165
41 296.2635193304401
42 296.2578041724344
43 296.2529857018502
44 296.2489189914615
45 296.2454925148778
46 296.2425960515496
47 296.2401505217657
48 296.2381038623456
49 296.2363769857151
50 296.2349398868931
